base_form	stem_past	stem_present	stem_future
быть	бы	ес	буд
мочь	мог	мож	мож
сказать	сказа	 	скаж
стать	ста	ста	стан
идти	ш	ид	ид
пойти	пош	ид	пойд
прийти	прише	прийд	прий
выйти	выше	выхож	выд
пройти	проше	прохож	пройд
стоять	стоя	стои	стои
хотеть	хоте	хоч	хотеть
видеть	виде	види	видеть
увидеть	увиде	види	увид
жить	жи	жив	жить
смотреть	смотре	смотри	смотреть
понять	поня	понима	пойм
понимать	понима	понима	пойм
получить	получи	получа	получ
дать	да	да	да
давать	дава	да	да
делать	дела	дела	сдела
сделать	сдела	дела	сдела
спросить	спроси	спрашива	спроси
спрашивать	спрашива	спрашива	спрашивать
сидеть	сиде	сиди	сяд
оказать	оказа	оказыва	окаж
оказывать	оказыва	оказыва	окаж
остать	оста	оста	остан
стоить	стои	стои	стоить
взять	взя	бер	возьм
брать	бра	бер	возьм
